Feature	VariableImportance
MGWvar	0.0145671001143941
ProT0.5	0.0130494222983269
ProT0.1	0.0130451142450398
MGW0.1	0.0127552250227178
ProT0.6	0.012720575998707
Roll0.1	0.0121354422971766
ProT0.2	0.0110361855767691
ProT0.4	0.0107340480417469
Roll0.4	0.0105657445838557
ProT0.3	0.0103682146485233
Roll0.2	0.00996135461672065
Roll0.3	0.00947432108917648
ProTvar	0.00916909122828272
HelT0.7	0.00854612240171502
Roll0.5	0.00831800442628219
HelT0.4	0.00830928174922585
ProT0.7	0.00779985616702206
Rollvar	0.00741439239667297
FOS_MA0476.1	0.00733990136057604
HelT0.6	0.00721339204212772
MGW0.2	0.00708523849429003
HelT0.3	0.00705756314127742
HelT0.9	0.00695294532609086
FOS..JUN_MA0099.2	0.00676209394064665
Roll0.8	0.00673067913964364
HelT0.5	0.00672047433908356
HelT0.8	0.00620587289032132
MGW0.3	0.00619752299080584
Roll0.9	0.00586562035982762
MGW0.5	0.00573115486033632
MGW0.4	0.00571073274960943
Roll0.6	0.00570365315989559
ProT0	0.00558594220497617
ProT0.9	0.00550990292135692
ProT0.8	0.00515361321167047
MGW0	0.0050471263355682
JUNB_MA0490.1	0.00469943076177042
Roll0.7	0.00451420617085298
Roll1	0.00444927879600739
HelT0.1	0.00438121140275377
FOSL2_MA0478.1	0.0042362314524852
HelT0.2	0.00412829357133934
Roll0	0.00396700006081852
ProT1	0.00367930327372807
TFAP2A_MA0003.1	0.00364467357385707
HelTvar	0.00352604672766707
MGW0.9	0.00325265659753888
MGW0.6	0.00313233819640996
MGW0.8	0.00298922780568376
MGW0.7	0.00289312317774016
FOSL1_MA0477.1	0.0028739835799034
HelT1	0.00276597081955945
JUND_MA0491.1	0.00237296713227319
HelT0	0.00214914021804182
MGW1	0.00203354301196748
RHOXF1_MA0719.1	0.00189571777983735
BATF..JUN_MA0462.1	0.00183818195578289
YY1_MA0095.1	0.00124680934547138
JDP2_MA0655.1	0.000972598325478367
FOXL1_MA0033.1	0.000855065555932854
SPI1_MA0080.1	0.00066130358748908
JUN.var.2._MA0489.1	0.000595830706970168
OTX1_MA0711.1	0.000460029696449417
GATA2_MA0036.1	0.00043679409226004
KLF5_MA0599.1	0.000342221744086794
TEAD4_MA0809.1	0.000339649678046935
ETS1_MA0098.1	0.000319857817912284
TEAD1_MA0090.2	0.000312081466779819
NFE2_MA0841.1	0.000280288809520021
TEAD3_MA0808.1	0.000278232936759284
ID4_MA0824.1	0.000270165807870087
