Variable	Coefficient
RUNX1_MA0002.1	0.15835
TFAP2A_MA0003.1	0.36736
NR2F1_MA0017.1	-0.35203
CREB1_MA0018.1	1.00806
E2F1_MA0024.1	0.43281
NFIL3_MA0025.1	0.15846
ELK1_MA0028.1	0.59221
FOXF2_MA0030.1	-0.11883
FOXD1_MA0031.1	0.00736
FOXC1_MA0032.1	0.00978
FOXL1_MA0033.1	-0.12961
GATA2_MA0036.1	-0.0616
GATA3_MA0037.1	-0.09991
FOXI1_MA0042.1	-0.29319
HLF_MA0043.1	0
NHLH1_MA0048.1	0
IRF1_MA0050.1	0.12768
IRF2_MA0051.1	-1.51777
MEF2A_MA0052.1	0
MZF1_MA0056.1	-0.01919
MZF1.var.2._MA0057.1	0.06602
MAX_MA0058.1	0
MAX..MYC_MA0059.1	0.02414
NFYA_MA0060.1	0.54438
NFKB1_MA0105.1	0.20589
GABPA_MA0062.1	0.26443
PPARG..RXRA_MA0065.1	0.17419
PPARG_MA0066.1	0
Pax6_MA0069.1	0
PBX1_MA0070.1	0
RORA_MA0071.1	0
RORA.var.2._MA0072.1	0
RREB1_MA0073.1	-0.26754
RXRA..VDR_MA0074.1	0
ELK4_MA0076.1	0
SOX9_MA0077.1	-0.21528
SP1_MA0079.1	0.20154
SPI1_MA0080.1	0.05708
SPIB_MA0081.1	0.02058
SRF_MA0083.1	0.9676
SRY_MA0084.1	-0.0651
TEAD1_MA0090.1	0.45689
TAL1..TCF3_MA0091.1	0
USF1_MA0093.1	0.08803
YY1_MA0095.1	-0.17848
ETS1_MA0098.1	0.08875
REL_MA0101.1	0.08683
NFKB1_MA0105.2	0
TP53_MA0106.1	0
RELA_MA0107.1	0
ESR1_MA0112.1	0
NR3C1_MA0113.1	0
NR1H2..RXRA_MA0115.1	0
NFIC..TLX1_MA0119.1	1.64212
NKX3.1_MA0124.1	-0.0537
ZNF354C_MA0130.1	-0.01567
HINFP_MA0131.1	0
STAT1_MA0137.1	0
REST_MA0138.1	2.09841
CTCF_MA0139.1	3.17551
FOXA1_MA0148.1	0.09755
EWSR1.FLI1_MA0149.1	0.02724
REST_MA0138.2	3.02764
STAT1_MA0137.2	-0.16956
ESR1_MA0112.2	0
NFE2L2_MA0150.1	0.4949
NFATC2_MA0152.1	-0.13658
HNF1B_MA0153.1	0.42831
INSM1_MA0155.1	-0.01438
FEV_MA0156.1	0.08991
FOXO3_MA0157.1	0
HOXA5_MA0158.1	-0.06593
RARA..RXRA_MA0159.1	0
NR4A2_MA0160.1	-0.20164
