Feature	VariableImportance
TFAP2A_MA0003.1	0.0113122883226953
FOS_MA0476.1	0.0109215597447559
FOS..JUN_MA0099.2	0.0100303982996422
FOSL2_MA0478.1	0.00785825909190707
JUNB_MA0490.1	0.00678230828462795
RHOXF1_MA0719.1	0.00500971129921458
FOSL1_MA0477.1	0.00401414903479983
FOXL1_MA0033.1	0.00393459409772028
YY1_MA0095.1	0.00343397399932467
JUND_MA0491.1	0.00315654830218412
BATF..JUN_MA0462.1	0.0030437129253951
SPI1_MA0080.1	0.00297076598226967
GATA2_MA0036.1	0.00289569918666912
OTX1_MA0711.1	0.00213574960006545
KLF5_MA0599.1	0.00205989715053686
JDP2_MA0655.1	0.00186881507729164
MZF1_MA0056.1	0.00182494654309177
NRF1_MA0506.1	0.00174902264747945
GATA3_MA0037.1	0.00164341432035065
ETS1_MA0098.1	0.00162874815691209
TCF3_MA0522.2	0.00161171523201441
SP1_MA0079.2	0.00154297021178696
E2F1_MA0024.2	0.00143231762774398
ELK1_MA0028.1	0.00136500195967803
SP1_MA0079.3	0.00134846798812035
JUN.var.2._MA0489.1	0.00132639429496345
ISX_MA0654.1	0.00127005218493384
NKX6.2_MA0675.1	0.00122620436489623
DLX6_MA0882.1	0.00119823812249286
ID4_MA0824.1	0.00114758533763924
BSX_MA0876.1	0.00114577147885937
SHOX_MA0630.1	0.00108104621890548
BARX1_MA0875.1	0.00106505576012596
SP3_MA0746.1	0.00104678315605767
SPIB_MA0081.1	0.00101380264231022
TEAD4_MA0809.1	0.00101281983167652
CTCF_MA0139.1	0.000994499693440857
PDX1_MA0132.2	0.000957467557827546
LMX1B_MA0703.1	0.000934736791382823
UNCX_MA0721.1	0.000910357708797568
RAX2_MA0717.1	0.000881762721600064
HOXB3_MA0903.1	0.000879150202265204
PRRX1_MA0716.1	0.000876993029988008
TCF4_MA0830.1	0.000872921415602193
HOXB2_MA0902.1	0.000825422919264181
FOXC1_MA0032.1	0.000792979340946297
EN1_MA0027.2	0.000765044083714454
FOXL1_MA0033.2	0.000762371212224199
LHX9_MA0701.1	0.000705547874041843
SOX10_MA0442.1	0.000698942976735716
KLF16_MA0741.1	0.000671570945849639
MIXL1_MA0662.1	0.000661960715617753
NKX6.1_MA0674.1	0.000660691977799151
NFE2_MA0841.1	0.000639671388377201
FOXP3_MA0850.1	0.000638961160657796
NFIX_MA0671.1	0.000614567267205585
MEIS1_MA0498.2	0.000607917722009787
FOXD2_MA0847.1	0.000602339149888386
VAX1_MA0722.1	0.000599017540107367
TEAD1_MA0090.2	0.000596181412891147
